,Cost,# of Atoms,Peak OD, [Repump off],Repump Ampl [Compression],2nd MOT Ampl [Compression], [Compression],Repump Ampl [Cooling],HH x [],HH z [], [Cooling]
1,-222.1115505796271,17581482.36241893,1.9915480957927463,3.1,1.0,0.8500000000000001,14.9,0.8500000000000001,0.13999999999999999,0.04,5.6
4,-172.05273682362332,17417669.380171288,1.8301724548088563,4.8,0.25,0.95,13.7,0.9500000000000001,0.15,0.03,4.8
2,-125.95288679489121,15391739.97390632,1.663112254027778,4.7,0.4,0.8500000000000001,10.9,0.9500000000000001,0.13,0.03,6.1
3,-119.95392903361368,15009906.95373919,1.6390207367693153,4.4,0.55,0.8500000000000001,12.0,1.0,0.16,0.03,7.6
0,-6.6332247252189305,8175004.927291393,0.6502562819274089,[4.8],[0.05],[0.55],[11.],[1.],[0.12],[0.04],[7.8]
