,Cost,# of Atoms,Peak OD, [Optical pump],Opt. pump Freq [Optical pump],Opt. pump Ampl [Optical pump]
4,836.1183503731625,26874795.505205303,3.01163452460447,0.9,92.0,0.15000000000000002
7,756.1387019906257,24837162.795657765,2.927722685423297,0.9,91.0,0.45
5,763.227241732185,24717847.329318352,2.937786109551827,0.7000000000000001,94.0,0.05
3,786.5756666696595,24570732.998032603,2.968624318150765,0.8,87.0,0.15000000000000002
8,736.6738557225084,24249773.55164603,2.9070169105347126,0.30000000000000004,90.0,0.4
6,724.5659436104861,23603586.434856713,2.896213048953057,0.2,95.0,0.2
1,748.015094251951,23410271.282667723,2.9287307655581634,0.30000000000000004,88.0,0.25
9,646.0870942483677,22855174.67721329,2.7936235688961633,0.8,88.0,0.30000000000000004
2,569.69624850116,21445004.534285206,2.690271343970105,0.9,89.0,0.2
0,492.5977868530528,20687897.308891714,2.5691328415279404,[1.],[90.],[0.3]
