,Cost,# of Atoms,Peak OD, [Repump off],Repump Ampl [Compression],2nd MOT Ampl [Compression], [Compression],Repump Ampl [Cooling],HH x [],HH z [], [Cooling]
810,1450.479491049639,47946858.395451,3.4816734045309747,0.30000000000000004,0.30000000000000004,0.75,17.1,0.9,0.16,0.05,5.6
518,819.377801582952,40109619.02367458,2.9125941092884373,0.1,0.65,0.9,5.6,0.95,0.16999999999999998,0.01,3.6
430,975.4609149443568,39831113.75595286,3.088329368884942,0.30000000000000004,0.8500000000000001,0.9,5.9,0.95,0.16,0.01,4.0
431,902.5657151934099,39387051.011583075,3.0116503610560454,0.2,0.65,1.0,5.3,0.8500000000000001,0.15,0.02,5.5
464,882.0986274175067,39025493.41627839,2.990549601203542,0.4,0.7000000000000001,0.9,7.5,0.95,0.16,0.01,4.7
492,932.7837938275135,38761929.431578815,3.04814184003867,0.2,0.6000000000000001,0.95,16.1,0.95,0.15,0.03,3.8
764,944.1512306908503,38726211.19580488,3.06066212765202,0.1,0.6000000000000001,0.95,9.600000000000001,0.95,0.13,0.0,3.7
554,1098.0976924973618,38721364.79123265,3.218736947257073,0.1,0.35000000000000003,0.8500000000000001,11.7,0.9,0.13999999999999999,0.02,4.3
612,997.1880580572881,38514150.310107745,3.1180725380704843,0.2,0.55,1.0,20.5,0.9,0.13999999999999999,0.04,3.5
469,1110.4915556184728,38457649.07775405,3.2322736376976606,0.2,0.45,0.95,17.700000000000003,0.95,0.15,0.01,3.6
482,988.3709288153668,38381534.76480956,3.109570334088557,0.4,0.45,0.8500000000000001,6.2,0.8500000000000001,0.15,0.03,5.2
765,861.979991981424,38256166.66521014,2.9715806640335645,0.2,0.25,0.9,34.3,0.95,0.15,0.02,4.5
531,1084.8366423981554,38196130.55005423,3.2086478250324193,0.4,0.4,0.9,31.8,0.9,0.13,0.0,3.2
562,961.3479715256819,38184657.741526775,3.082025115963147,0.2,0.30000000000000004,1.0,11.600000000000001,0.8,0.13999999999999999,0.01,3.1
530,869.6480627122353,38104502.18910861,2.981155693580892,0.2,0.30000000000000004,1.0,30.1,0.9,0.13,0.01,6.4
619,1017.5112535852156,38103611.41488523,3.1413565374947336,0.2,0.30000000000000004,0.95,26.3,0.9,0.16999999999999998,0.02,5.1
532,1040.971553352736,38036959.959271155,3.1656857665517317,0.2,0.5,0.9,23.3,0.9,0.13999999999999999,0.04,4.7
548,915.1600330170039,37983323.48118749,3.0329230375622855,0.2,0.35000000000000003,0.95,26.400000000000002,0.8,0.13,0.01,6.4
444,816.8344800556289,37938527.08897242,2.9203925425982415,0.4,0.8500000000000001,0.9,6.6,0.8,0.16,0.01,6.300000000000001
697,849.9485687430026,37875738.72188091,2.9596615643376922,0.1,0.55,0.95,15.5,0.9,0.16999999999999998,0.01,4.2
454,892.0712354028863,37703028.672667295,3.0086847348204038,0.2,0.45,1.0,17.0,0.95,0.16999999999999998,0.04,7.0
484,906.7141792203673,37693486.68594666,3.0251085885824542,0.2,0.65,1.0,8.8,0.9,0.15,0.03,5.7
567,853.9082567243216,37645739.06045183,2.965454547655635,0.7000000000000001,0.55,0.95,17.1,1.0,0.15,0.01,3.0
559,844.0181145718914,37640785.94132124,2.953987138079185,0.1,0.8,0.95,19.200000000000003,0.9,0.13999999999999999,0.02,3.0
496,853.4737894391387,37606873.80522042,2.965155715330301,0.1,0.45,1.0,8.5,0.95,0.13999999999999999,0.0,7.3
551,1041.7132944564266,37571150.62267184,3.1690398161866677,0.4,0.35000000000000003,0.9,26.200000000000003,0.7,0.16,0.0,4.0
535,884.9305195267102,37495082.40047867,3.0017420383995805,0.30000000000000004,0.5,0.95,24.6,0.8500000000000001,0.13,0.02,5.1
432,829.381740325279,37370199.51100221,2.938225108856911,0.2,0.8500000000000001,0.95,7.7,0.7,0.15,0.03,6.6
547,1022.1269319378415,37369420.979206845,3.150183044137456,0.5,0.4,1.0,28.5,1.0,0.15,0.03,5.1
637,882.7412505095045,37335682.23063699,3.000116640396895,0.1,0.25,0.95,29.900000000000002,1.0,0.16999999999999998,0.01,3.5
617,883.0361287903568,37332955.60420269,3.000465274319503,0.1,0.8500000000000001,0.95,34.5,0.9,0.13,0.03,3.2
495,933.0555354872552,37307792.500738226,3.056218975786707,0.30000000000000004,0.30000000000000004,0.95,13.6,0.8500000000000001,0.13999999999999999,0.0,5.300000000000001
447,899.9647961285452,37232532.83254135,3.0200602869279427,0.4,0.5,0.8500000000000001,20.200000000000003,0.75,0.18,0.01,3.1
584,731.5988225733017,37219897.98075983,2.8186507389485773,0.30000000000000004,0.4,0.9,5.6,0.95,0.18,0.02,3.1
601,961.5691041992802,37206912.91572606,3.087596475250873,0.1,0.30000000000000004,0.95,14.200000000000001,0.95,0.15,0.0,4.8
445,750.3390752087133,37136563.45015387,2.84293997025963,0.6,0.8,1.0,9.3,0.8500000000000001,0.16999999999999998,0.01,4.8
462,854.0855518904289,37135863.86955599,2.968357276224075,0.9,0.45,0.95,9.3,0.8500000000000001,0.16,0.0,5.0
704,911.5981054466292,37126612.89401038,3.033593596643503,0.1,0.30000000000000004,0.8500000000000001,14.9,0.8,0.16,0.01,6.800000000000001
775,915.7629172896363,37090498.91498001,3.0384035696050007,0.30000000000000004,0.4,0.8500000000000001,22.5,0.95,0.13,0.02,3.6
440,913.0417052160079,37076629.577752426,3.035466708907183,0.1,0.5,0.9,9.100000000000001,0.9,0.15,0.02,3.7
745,909.3453694272748,36987439.31489621,3.0318517329993484,0.30000000000000004,0.35000000000000003,0.9,16.0,0.95,0.13999999999999999,0.02,3.7
452,899.2775967396855,36899386.29729897,3.0211012238144956,0.2,0.6000000000000001,0.8500000000000001,7.4,0.9,0.15,0.02,4.0
632,1006.3477201703597,36889710.24978028,3.136589143265427,0.1,0.4,0.95,31.6,1.0,0.16999999999999998,0.03,8.600000000000001
604,869.8723219728238,36879064.151301496,2.9879166204944996,0.9,0.30000000000000004,0.9,31.3,0.8,0.13999999999999999,0.01,4.4
569,827.8078247669808,36872340.66532326,2.938992142439004,0.4,0.6000000000000001,0.95,10.8,1.0,0.15,0.01,3.8
455,932.6465194483034,36807336.83833568,3.0585249768864684,0.30000000000000004,0.35000000000000003,0.8500000000000001,22.0,0.8500000000000001,0.16999999999999998,0.05,3.6
618,872.6578129280662,36807281.42487117,2.9914910706644693,0.4,0.45,0.8500000000000001,8.2,0.8500000000000001,0.13,0.01,4.1
423,705.0560305100936,36787775.002804935,2.7863111315321945,0.2,0.25,0.95,13.200000000000001,0.95,0.16999999999999998,0.01,5.1
602,778.9599199899166,36764342.14892499,2.8805707935774505,0.2,0.6000000000000001,1.0,33.6,0.95,0.12,0.05,4.2
549,828.6724452445425,36746969.77983029,2.9406827024446827,0.1,0.45,0.9,7.1,0.8500000000000001,0.16999999999999998,0.02,4.1
478,928.8380050681634,36728495.38726216,3.0547927691440098,0.4,0.35000000000000003,1.0,9.7,0.6,0.16,0.0,4.3
558,914.6527982571357,36718350.0297043,3.0392179805892985,0.7000000000000001,0.35000000000000003,0.95,33.5,0.8500000000000001,0.13,0.01,4.9
751,826.1349003395812,36696562.465994135,2.9379468631352825,0.4,0.30000000000000004,0.95,22.7,1.0,0.16999999999999998,0.0,3.1
545,928.5188334288731,36692014.06765926,3.0546452084890006,0.1,0.45,0.95,28.5,0.9,0.13,0.01,4.5
481,735.5670840442035,36625624.78683519,2.8267695367216277,0.6,0.30000000000000004,0.9,6.9,0.8,0.18,0.0,4.6
536,520.9312813144302,36598138.415616825,2.519792953531046,0.4,0.25,0.9,32.900000000000006,0.8,0.12,0.02,5.9
749,858.94530652601,36563210.49489898,2.977059594953947,0.4,0.30000000000000004,0.95,30.900000000000002,0.95,0.18,0.03,4.4
603,628.7489204030188,36532540.556196965,2.6831754630774234,0.4,0.25,0.95,18.6,0.8500000000000001,0.15,0.0,3.6
589,846.3021243463675,36529172.7635607,2.9625644198752954,0.30000000000000004,0.4,0.95,16.6,1.0,0.13,0.03,7.4
633,949.3016274922837,36517889.6940146,3.078243793047002,0.30000000000000004,0.5,1.0,28.200000000000003,0.75,0.13999999999999999,0.04,3.8
470,841.1843546253206,36507051.269552596,2.956699999156415,0.6,0.4,1.0,18.5,0.8500000000000001,0.16999999999999998,0.03,4.4
613,978.8675909811213,36493305.64131498,3.1100145422539476,0.2,0.35000000000000003,0.9,33.7,0.9,0.13,0.05,3.4
624,849.6410863469061,36446924.987197354,2.966901273359961,0.2,0.30000000000000004,0.95,17.8,1.0,0.16,0.05,3.1
419,791.608497657005,36444883.76035975,2.8977641196788104,0.1,1.0,0.9,7.4,0.95,0.16,0.0,6.2
519,818.8245744896402,36375791.59084944,2.930970511775412,0.5,0.45,0.9,32.900000000000006,0.95,0.12,0.01,4.9
610,895.1101336256072,36316355.13179657,3.0196318727595375,0.2,0.4,0.95,9.7,0.8500000000000001,0.16,0.01,4.1
762,845.3658329060936,36310414.515329935,2.9626576990742395,0.2,0.4,1.0,19.5,0.9,0.16999999999999998,0.01,5.6
477,911.7923808927188,36302806.75777049,3.038351161206873,0.2,0.35000000000000003,0.95,7.7,0.75,0.13999999999999999,0.01,5.7
443,792.0836578033234,36278141.2562096,2.899230052251636,0.2,0.45,1.0,17.4,0.8500000000000001,0.15,0.06,3.6
