,Cost,# of Atoms,Peak OD, [Repump off],Repump Ampl [Compression],2nd MOT Ampl [Compression], [Compression],Repump Ampl [Cooling],HH x [],HH z [], [Cooling]
3,-73.47560309250719,11766934.20894784,1.4147389688034684,4.4,0.25,0.8500000000000001,14.2,0.9,0.16,0.05,4.4
1,-51.848523543658295,10454329.797389906,1.26949981525361,3.6,0.4,0.5,12.4,0.9500000000000001,0.15,0.01,5.5
0,-26.6153570799286,9418062.78192137,1.023578164393072,[3.8],[0.15],[0.6],[11.8],[0.8],[0.13],[0.01],[6.2]
2,-34.547469403996445,9006211.477081042,1.119895006287996,4.9,0.75,0.9,10.1,0.9500000000000001,0.16999999999999998,0.06,7.9
4,-31.18628852168661,8137061.0322487,1.0896799372992787,3.2,0.8,0.6,11.8,0.9500000000000001,0.15,0.06,7.9
